work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_in_usd,salary_group
2021,EN,FT,Data Scientist,IN,50,IN,L,29751,L
2021,MI,FT,Cloud Data Engineer,SG,50,SG,L,89294,M
2021,EN,PT,AI Scientist,BR,100,US,S,12000,L
2021,MI,FT,Financial Data Analyst,US,100,US,L,450000,H
2021,EN,FT,Computer Vision Software Engineer,US,100,US,M,70000,L
2021,MI,FT,Computer Vision Software Engineer,DE,100,US,S,95746,M
2021,MI,FT,Data Analyst,US,0,US,L,75000,M
2021,SE,FT,Data Engineer,US,100,US,L,150000,H
2021,MI,FT,BI Data Analyst,HU,50,US,L,36259,L
2021,MI,FT,Data Analyst,US,0,US,L,62000,L
2021,MI,FT,Data Scientist,US,0,US,L,73000,L
2021,MI,FT,Data Analyst,GB,50,GB,L,51519,L
2021,MI,FT,Research Scientist,CA,100,CA,L,187442,H
2021,SE,FT,Data Engineer,US,100,US,S,115000,M
2021,SE,FT,Data Engineer,US,100,US,M,150000,H
2021,EN,FT,Data Engineer,IN,100,IN,L,30428,L
2021,SE,FT,Machine Learning Engineer,DE,50,DE,L,94564,M
2021,SE,FT,Director of Data Engineering,GB,100,GB,M,113476,M
2021,SE,FT,Lead Data Engineer,GB,100,GB,S,103160,M
2021,EN,PT,AI Scientist,PK,100,US,M,12000,L
2021,MI,FT,Data Engineer,NL,100,NL,L,45391,L
2021,EN,FT,Machine Learning Scientist,US,100,US,L,225000,H
2021,MI,FT,Data Scientist,NG,100,NG,L,50000,L
2021,MI,FT,Data Science Engineer,GR,100,GR,M,40189,L
2021,EN,FT,Data Analyst,US,100,US,S,90000,M
2021,MI,FT,Data Engineer,US,100,US,L,200000,H
2021,MI,FT,Big Data Engineer,ES,50,RO,M,60000,L
2021,SE,FT,Principal Data Engineer,US,100,US,M,200000,H
2021,EN,FT,Data Analyst,US,100,US,M,50000,L
2021,EN,FT,Applied Data Scientist,GB,0,GB,L,110037,M
2021,EN,PT,Data Analyst,ES,50,ES,M,10354,L
2021,MI,FT,Principal Data Scientist,US,100,US,L,151000,H
2021,SE,FT,Machine Learning Scientist,US,50,US,S,120000,M
2021,MI,FT,Data Scientist,IN,0,IN,S,9466,L
2021,EN,FT,Machine Learning Engineer,IN,100,IN,S,20000,L
2021,SE,FT,Lead Data Scientist,IN,50,IN,L,40570,L
2021,EN,FT,Machine Learning Developer,IQ,50,IQ,S,100000,M
2021,EN,FT,Data Scientist,FR,50,FR,M,49646,L
2021,MI,FT,Applied Machine Learning Scientist,VN,100,US,M,38400,L
2021,SE,FT,Computer Vision Engineer,BR,100,BR,M,24000,L
2021,EN,FT,Data Scientist,US,0,US,S,100000,M
2021,MI,FT,Data Analyst,US,100,US,M,90000,M
2021,MI,FT,ML Engineer,JP,50,JP,S,63711,L
2021,MI,FT,ML Engineer,JP,50,JP,S,77364,M
2021,SE,FT,Principal Data Scientist,US,0,US,L,220000,H
2021,EN,FT,Data Scientist,US,100,US,M,80000,M
2021,MI,FT,Data Analyst,US,100,US,L,135000,H
2021,SE,FT,Data Science Manager,US,0,US,L,240000,H
2021,SE,FT,Data Engineering Manager,US,0,US,L,150000,H
2021,MI,FT,Data Scientist,US,100,US,S,82500,M
2021,MI,FT,Data Engineer,US,100,US,L,100000,M
2021,SE,FT,Machine Learning Engineer,BE,50,BE,M,82744,M
2021,MI,FT,Research Scientist,FR,50,FR,M,62649,L
2021,MI,FT,Data Engineer,US,100,US,L,90000,M
2021,SE,FT,Data Engineering Manager,US,100,US,L,153000,H
2021,SE,FT,Cloud Data Engineer,BR,100,US,S,160000,H
2021,SE,FT,Director of Data Science,JP,0,JP,S,168000,H
2021,MI,FT,Data Scientist,US,100,US,M,150000,H
2021,MI,FT,Data Scientist,CA,100,CA,L,75774,M
2021,EN,FT,Data Scientist,UA,100,UA,L,13400,L
2021,SE,FT,Data Science Manager,US,100,US,L,144000,H
2021,SE,FT,Data Science Engineer,CA,50,CA,L,127221,M
2021,MI,FT,Data Scientist,SG,100,IL,M,119059,M
2021,MI,FT,Applied Machine Learning Scientist,US,50,US,L,423000,H
2021,SE,FT,Data Analytics Manager,US,100,US,M,120000,M
2021,EN,FT,Machine Learning Engineer,US,100,US,S,125000,M
2021,EX,FT,Head of Data,RU,50,RU,L,230000,H
2021,EX,FT,Head of Data Science,RU,0,RU,M,85000,M
2021,MI,FT,Data Engineer,MT,50,MT,L,28369,L
2021,EN,FT,Data Science Consultant,DE,50,DE,L,63831,L
2021,EX,FT,Director of Data Science,DE,50,DE,M,130026,H
2021,SE,FT,Data Specialist,US,100,US,L,165000,H
2021,EN,FT,Data Engineer,US,100,US,L,80000,M
2021,EX,FT,Director of Data Science,US,0,US,L,250000,H
2021,EN,FT,BI Data Analyst,US,50,US,S,55000,L
2021,MI,FT,Data Architect,US,100,US,L,150000,H
2021,MI,FT,Data Architect,US,100,US,L,170000,H
2021,MI,FT,Data Engineer,GB,100,GB,L,82528,M
2021,EN,FT,Data Analyst,US,100,US,S,60000,L
2021,SE,FT,Principal Data Scientist,US,100,US,L,235000,H
2021,SE,FT,Research Scientist,PT,50,PT,L,60757,L
2021,SE,FT,Data Engineering Manager,US,100,US,L,174000,H
2021,MI,FT,Data Scientist,MX,0,MX,S,2859,L
2021,MI,FT,Data Scientist,CL,100,CL,L,40038,L
2021,EN,FT,Machine Learning Engineer,US,50,US,S,81000,M
2021,MI,FT,Data Scientist,IN,100,US,S,5679,L
2021,MI,FT,Big Data Engineer,IN,0,IN,L,22611,L
2021,MI,FT,Data Scientist,DE,50,DE,L,90734,M
2021,MI,FT,Data Engineer,RO,0,US,L,26005,L
2021,SE,FT,Finance Data Analyst,GB,50,GB,L,61896,L
2021,MI,FL,Machine Learning Scientist,PK,50,PK,M,12000,L
2021,MI,FT,Data Engineer,IR,100,IR,M,4000,L
2021,SE,FT,Data Analytics Engineer,VN,100,GB,M,50000,L
2021,EX,FT,Data Science Consultant,FR,100,ES,S,69741,L
2021,SE,FT,Data Engineer,RO,50,GB,S,76833,M
2021,MI,FT,Machine Learning Engineer,JP,50,JP,S,74000,L
2021,SE,FT,Data Science Manager,US,100,FR,L,152000,H
2021,EN,FT,Machine Learning Engineer,CO,50,CO,M,21844,L
2021,MI,FT,Big Data Engineer,MD,0,MD,S,18000,L
2021,SE,FT,Data Science Manager,US,100,US,L,174000,H
2021,SE,FT,Research Scientist,CA,50,CA,L,96113,M
2021,MI,FT,Data Scientist,US,50,US,L,147000,H
2021,EN,FT,BI Data Analyst,KE,100,KE,S,9272,L
2021,SE,FT,Machine Learning Engineer,IN,100,IN,L,24342,L
2021,SE,FT,Data Science Manager,IN,50,US,L,54094,L
2021,EN,FT,Data Science Consultant,US,100,US,S,90000,M
2021,MI,FT,Data Scientist,DE,50,AT,M,61467,L
2021,SE,FT,Machine Learning Infrastructure Engineer,US,100,US,M,195000,H
2021,MI,FT,Data Scientist,ES,100,ES,L,37825,L
2021,SE,FT,Research Scientist,FR,100,US,S,50000,L
2021,MI,FT,Data Scientist,US,100,US,L,160000,H
2021,MI,FT,Data Scientist,BR,0,BR,S,12901,L
2021,SE,FT,Machine Learning Engineer,US,100,US,L,200000,H
2021,SE,FT,Data Engineer,US,0,US,M,165000,H
2021,MI,FL,Data Engineer,IT,0,US,L,20000,L
2021,SE,FT,Data Analytics Manager,US,0,US,L,120000,M
2021,MI,FT,Machine Learning Engineer,SI,50,SI,L,24823,L
2021,MI,FT,Research Scientist,FR,50,FR,S,56738,L
2021,MI,FT,Data Engineer,HK,50,GB,S,66022,L
2021,EN,FT,Big Data Engineer,IN,0,CH,L,5882,L
2021,EN,FT,Machine Learning Engineer,DE,50,DE,M,24823,L
2021,SE,FT,Principal Data Engineer,US,100,US,L,185000,H
2021,EN,PT,Computer Vision Engineer,DK,50,DK,S,28609,L
2021,MI,FT,Machine Learning Engineer,BE,100,BE,M,88654,M
2021,SE,FT,Data Analytics Manager,US,100,US,L,140000,H
2021,MI,FT,Machine Learning Engineer,PL,100,PL,L,46597,L
2021,MI,FT,Data Scientist,GB,50,GB,L,116914,M
2021,MI,FT,Data Scientist,IN,0,IN,M,33808,L
2021,MI,FT,Data Scientist,GB,50,GB,L,56256,L
2021,SE,FT,Machine Learning Scientist,US,100,CA,L,225000,H
2021,EX,CT,Principal Data Scientist,US,100,US,S,416000,H
2021,SE,FT,Data Scientist,CA,100,CA,S,87738,M
2021,MI,FT,Data Scientist,DE,50,DE,L,88654,M
2021,SE,FT,Data Scientist,US,0,US,L,135000,H
2021,SE,FT,Data Analyst,CA,100,CA,M,71786,L
2021,EN,FT,Big Data Engineer,IN,100,IN,L,16228,L
2021,SE,FT,ML Engineer,US,100,US,S,256000,H
2021,SE,FT,Director of Data Engineering,US,100,US,L,200000,H
2021,SE,FT,Data Analyst,US,100,US,L,200000,H
2021,MI,FT,Data Architect,US,100,US,L,180000,H
2021,MI,FT,Head of Data Science,US,0,US,S,110000,M
2021,MI,FT,Research Scientist,CA,100,CA,M,63810,L
2021,MI,FT,Data Scientist,ES,100,ES,M,46809,L
2021,EN,FT,Data Scientist,VN,0,VN,M,4000,L
2021,EN,FT,Data Engineer,IN,50,IN,M,21637,L
2021,SE,FT,Data Scientist,CA,100,CA,L,103691,M
2021,MI,FT,Data Analyst,US,100,US,L,80000,M
2021,MI,FT,Data Engineer,US,100,US,L,110000,M
2021,SE,FT,Data Scientist,US,100,US,L,165000,H
2021,EN,FT,AI Scientist,IN,100,AS,S,18053,L
2021,MI,FT,Data Engineer,GB,50,GB,L,72212,L
2021,EN,FT,Data Scientist,FR,50,FR,L,36643,L
2021,MI,FT,Data Engineer,TR,0,TR,M,12103,L
2021,SE,FT,Data Engineer,GB,50,GB,L,96282,M
2021,SE,FT,Principal Data Analyst,US,100,US,M,170000,H
2021,MI,FT,Data Scientist,US,50,US,L,115000,M
2021,EN,FT,Data Scientist,US,100,US,S,90000,M
2021,EX,FT,Principal Data Engineer,US,100,US,L,600000,H
2021,EN,FT,Data Scientist,IN,100,IN,M,28399,L
2021,MI,FT,Data Analyst,US,100,US,L,93000,M
2021,SE,FT,Big Data Architect,CA,50,CA,M,99703,M
2021,SE,FT,Principal Data Scientist,DE,100,DE,M,173762,H
2021,SE,FT,Machine Learning Engineer,US,50,US,L,185000,H
2021,EX,FT,Director of Data Science,DE,0,DE,L,141846,H
2021,MI,FT,Data Scientist,US,50,US,L,130000,H
2021,SE,FT,Data Analyst,DE,50,DE,L,63831,L
2021,MI,FT,Data Scientist,IN,100,IN,S,16904,L
2021,SE,FT,Machine Learning Engineer,IN,0,IN,L,66265,L
2021,MI,FT,Data Scientist,RS,100,DE,S,25532,L
2021,SE,FT,Lead Data Engineer,PR,50,US,S,160000,H
2021,MI,FT,Data Engineer,US,0,US,M,93150,M
2021,MI,FT,Data Engineer,US,0,US,M,111775,M
2021,MI,FT,Data Engineer,TR,100,TR,M,28016,L
2021,EN,FT,Data Engineer,DE,50,DE,M,65013,L
2021,EN,FT,Data Engineer,US,100,US,L,72500,L
2021,SE,FT,Computer Vision Engineer,BR,0,BR,M,18907,L
2021,EN,FT,Data Science Consultant,DE,0,DE,L,76833,M
2021,EN,FT,Machine Learning Engineer,NL,100,DE,S,85000,M
2021,SE,FT,Data Scientist,FR,50,FR,M,77684,M
2021,EN,FT,Data Scientist,US,100,US,M,100000,M
2021,EN,FT,Data Scientist,US,50,US,L,58000,L
2021,SE,FT,AI Scientist,ES,100,ES,L,55000,L
2021,SE,FT,Data Scientist,TR,50,TR,L,20171,L
2021,EN,FT,Business Data Analyst,LU,100,LU,L,59102,L
2021,MI,FT,Data Engineer,US,100,US,L,112000,M
2021,EN,FT,Research Scientist,JE,0,CN,L,100000,M
2021,MI,PT,Data Engineer,NL,100,NL,L,69741,L
2021,SE,CT,Staff Data Scientist,US,100,US,M,105000,M
2021,MI,FT,Research Scientist,CZ,50,CZ,L,69999,L
2021,SE,FT,Data Science Manager,IN,50,IN,L,94665,M
2021,SE,FT,Head of Data,SI,100,SI,L,102839,M
2021,MI,FT,Data Scientist,US,50,US,L,109000,M
2021,MI,FT,Machine Learning Engineer,IT,50,IT,L,51064,L
2022,SE,FT,Data Engineer,US,100,US,M,135000,H
2022,SE,FT,Data Analyst,US,100,US,M,155000,H
2022,SE,FT,Data Analyst,US,100,US,M,120600,M
2022,MI,FT,Data Scientist,US,0,US,M,130000,H
2022,MI,FT,Data Scientist,US,0,US,M,90000,M
2022,MI,FT,Data Engineer,US,100,US,M,170000,H
2022,MI,FT,Data Engineer,US,100,US,M,150000,H
2022,SE,FT,Data Analyst,US,100,US,M,102100,M
2022,SE,FT,Data Analyst,US,100,US,M,84900,M
2022,SE,FT,Data Scientist,US,100,US,M,136620,H
2022,SE,FT,Data Scientist,US,100,US,M,99360,M
2022,SE,FT,Data Scientist,GB,0,GB,M,117789,M
2022,SE,FT,Data Scientist,GB,0,GB,M,104702,M
2022,SE,FT,Data Scientist,US,100,US,M,146000,H
2022,SE,FT,Data Scientist,US,100,US,M,123000,M
2022,EN,FT,Data Engineer,GB,100,GB,M,52351,L
2022,SE,FT,Data Analyst,US,0,US,M,99000,M
2022,SE,FT,Data Analyst,US,0,US,M,116000,M
2022,MI,FT,Data Analyst,US,0,US,M,106260,M
2022,MI,FT,Data Analyst,US,0,US,M,126500,M
2022,EX,FT,Data Engineer,US,100,US,M,242000,H
2022,EX,FT,Data Engineer,US,100,US,M,200000,H
2022,MI,FT,Data Scientist,GB,0,GB,M,65438,L
2022,MI,FT,Data Scientist,GB,0,GB,M,39263,L
2022,MI,FT,Data Engineer,GB,0,GB,M,78526,M
2022,MI,FT,Data Engineer,GB,0,GB,M,52351,L
2022,SE,FT,Data Scientist,US,100,US,M,165220,H
2022,EN,FT,Data Engineer,GB,100,GB,M,45807,L
2022,SE,FT,Data Scientist,US,100,US,M,120160,M
2022,SE,FT,Data Analyst,US,100,US,M,90320,M
2022,SE,FT,Data Engineer,US,0,US,M,181940,H
2022,SE,FT,Data Engineer,US,0,US,M,132320,H
2022,SE,FT,Data Engineer,US,0,US,M,220110,H
2022,SE,FT,Data Engineer,US,0,US,M,160080,H
2022,SE,FT,Data Scientist,US,0,US,L,180000,H
2022,SE,FT,Data Scientist,US,0,US,L,120000,M
2022,SE,FT,Data Analyst,US,100,US,M,124190,M
2022,EX,FT,Data Analyst,US,100,US,M,130000,H
2022,EX,FT,Data Analyst,US,100,US,M,110000,M
2022,SE,FT,Data Analyst,US,100,US,M,170000,H
2022,MI,FT,Data Analyst,US,100,US,M,115500,M
2022,SE,FT,Data Analyst,US,100,US,M,112900,M
2022,SE,FT,Data Engineer,US,100,US,M,165400,H
2022,SE,FT,Data Engineer,US,100,US,M,132320,H
2022,MI,FT,Data Analyst,US,100,US,M,167000,H
2022,SE,FT,Data Engineer,US,100,US,M,243900,H
2022,SE,FT,Data Analyst,US,100,US,M,136600,H
2022,SE,FT,Data Analyst,US,100,US,M,109280,M
2022,SE,FT,Data Engineer,US,100,US,M,128875,H
2022,SE,FT,Data Engineer,US,100,US,M,93700,M
2022,EX,FT,Head of Data Science,US,100,US,M,224000,H
2022,EX,FT,Head of Data Science,US,100,US,M,167875,H
2022,EX,FT,Analytics Engineer,US,100,US,M,175000,H
2022,SE,FT,Data Engineer,US,100,US,M,156600,H
2022,SE,FT,Data Engineer,US,0,US,M,108800,M
2022,SE,FT,Data Scientist,US,0,US,M,95550,M
2022,SE,FT,Data Engineer,US,0,US,L,113000,M
2022,SE,FT,Data Analyst,US,100,US,M,135000,H
2022,SE,FT,Data Science Manager,US,100,US,M,161342,H
2022,SE,FT,Data Science Manager,US,100,US,M,137141,H
2022,SE,FT,Data Scientist,US,100,US,M,167000,H
2022,SE,FT,Data Engineer,GB,0,GB,M,78526,M
2022,SE,FT,Data Engineer,GB,0,GB,M,65438,L
2022,SE,FT,Data Scientist,US,0,US,M,150000,H
2022,SE,FT,Data Scientist,US,100,US,M,211500,H
2022,SE,FT,Data Architect,CA,100,CA,M,192400,H
2022,SE,FT,Data Architect,CA,100,CA,M,90700,M
2022,SE,FT,Data Analyst,CA,100,CA,M,130000,H
2022,SE,FT,Data Analyst,CA,100,CA,M,61300,L
2022,SE,FT,Data Engineer,US,0,US,L,160000,H
2022,SE,FT,Data Scientist,US,100,US,M,138600,H
2022,SE,FT,Data Engineer,US,0,US,M,136000,H
2022,MI,FT,Data Analyst,US,0,US,S,58000,L
2022,EX,FT,Analytics Engineer,US,100,US,M,135000,H
2022,SE,FT,Data Scientist,US,100,US,M,170000,H
2022,SE,FT,Machine Learning Engineer,US,0,US,M,189650,H
2022,SE,FT,Machine Learning Engineer,US,0,US,M,164996,H
2022,MI,FT,ETL Developer,GR,0,GR,M,54957,L
2022,EX,FT,Lead Data Engineer,CA,100,CA,S,118187,M
2022,SE,FT,Data Analyst,US,0,US,M,132000,H
2022,SE,FT,Data Architect,US,100,US,M,208775,H
2022,SE,FT,Data Architect,US,100,US,M,147800,H
2022,SE,FT,Data Engineer,US,100,US,M,136994,H
2022,SE,FT,Data Engineer,US,100,US,M,101570,M
2022,SE,FT,Data Analyst,US,100,US,M,128875,H
2022,SE,FT,Data Analyst,US,100,US,M,93700,M
2022,EX,FT,Head of Machine Learning,IN,50,IN,L,79039,M
2022,EN,FT,Machine Learning Engineer,GB,100,GB,L,37300,L
2022,SE,FT,Data Analyst,US,0,US,M,164000,H
2022,SE,FT,Data Engineer,US,100,US,M,155000,H
2022,MI,FT,Machine Learning Engineer,GB,0,GB,M,124333,M
2022,MI,FT,Machine Learning Engineer,GB,0,GB,M,98158,M
2022,MI,FT,AI Scientist,US,0,US,M,120000,M
2022,SE,FT,Data Analytics Manager,US,100,US,M,145000,H
2022,SE,FT,Data Analytics Manager,US,100,US,M,105400,M
2022,MI,FT,Machine Learning Engineer,FR,100,DE,M,87932,M
2022,MI,FT,Data Engineer,GB,0,GB,M,117789,M
2022,SE,FT,Data Scientist,US,100,US,L,215300,H
2022,SE,FT,Data Scientist,US,100,US,L,158200,H
2022,SE,FT,Data Engineer,US,100,US,L,209100,H
2022,SE,FT,Data Engineer,US,100,US,L,154600,H
2022,SE,FT,Data Analyst,US,0,US,M,115934,M
2022,SE,FT,Data Analyst,US,0,US,M,81666,M
2022,SE,FT,Data Engineer,US,100,US,M,175000,H
2022,MI,FT,Data Engineer,GB,0,GB,M,98158,M
2022,SE,FT,Data Engineer,US,100,US,L,183600,H
2022,MI,FT,Data Analyst,GB,100,GB,M,52351,L
2022,SE,FT,Data Scientist,US,100,US,M,180000,H
2022,MI,FT,Data Scientist,GB,0,GB,M,71982,L
2022,MI,FT,Data Scientist,GB,0,GB,M,45807,L
2022,MI,FT,Data Engineer,GR,100,GR,M,65949,L
2022,MI,FT,Data Engineer,GR,100,GR,M,49461,L
2022,MI,FT,Data Engineer,GB,100,GB,M,78526,M
2022,MI,FT,Data Engineer,GB,100,GB,M,58894,L
2022,SE,FT,Data Scientist,US,100,US,M,260000,H
2022,SE,FT,Data Science Engineer,AR,100,MX,L,60000,L
2022,MI,FT,Data Engineer,US,0,US,M,63900,L
2022,MI,FT,Machine Learning Scientist,US,100,US,L,160000,H
2022,MI,FT,Machine Learning Scientist,US,100,US,L,112300,M
2022,MI,FT,Data Science Manager,US,100,US,M,241000,H
2022,MI,FT,Data Science Manager,US,100,US,M,159000,H
2022,SE,FT,Data Scientist,US,0,US,M,180000,H
2022,SE,FT,Data Scientist,US,0,US,M,80000,M
2022,MI,FT,Data Engineer,US,0,US,M,82900,M
2022,SE,FT,Data Engineer,US,100,US,L,100800,M
2022,MI,FT,Data Engineer,ES,100,ES,M,49461,L
2022,SE,FT,Data Scientist,US,0,US,L,140400,H
2022,MI,FT,Data Analyst,GB,100,GB,M,39263,L
2022,MI,FT,Data Analyst,ES,100,ES,M,43966,L
2022,MI,FT,Data Analyst,ES,100,ES,M,32974,L
2022,MI,FT,Data Engineer,ES,100,ES,M,87932,M
2022,MI,FT,Data Engineer,ES,100,ES,M,76940,M
2022,MI,FT,Data Engineer,GB,100,GB,M,104702,M
2022,MI,FT,Data Engineer,GB,100,GB,M,91614,M
2022,MI,FT,Data Engineer,ES,100,ES,M,65949,L
2022,MI,FT,Data Engineer,GR,100,GR,M,87932,M
2022,MI,FT,Data Analyst,GR,100,GR,M,43966,L
2022,MI,FT,Data Analyst,GR,100,GR,M,32974,L
2022,MI,FT,Data Engineer,GB,100,GB,M,98158,M
2022,SE,FT,Data Scientist,US,0,US,L,215300,H
2022,MI,FT,Data Engineer,GR,100,GR,M,76940,M
2022,SE,FT,Data Engineer,US,100,US,M,180000,H
2022,EN,FT,ML Engineer,PT,100,PT,L,21983,L
2022,SE,FT,Data Engineer,US,100,US,M,80000,M
2022,MI,FT,Machine Learning Developer,CA,100,CA,M,78791,M
2022,EX,FT,Director of Data Science,CA,50,CA,L,196979,H
2022,MI,FT,Machine Learning Engineer,US,100,US,S,120000,M
2022,EN,FT,Computer Vision Engineer,US,0,US,M,125000,M
2022,MI,FT,NLP Engineer,US,50,US,L,37236,L
2022,SE,FT,Data Engineer,US,100,US,M,105000,M
2022,SE,FT,Lead Machine Learning Engineer,DE,0,DE,M,87932,M
2022,MI,FT,Business Data Analyst,IN,100,IN,M,18442,L
2022,MI,FT,Data Scientist,IN,100,IN,L,31615,L
2022,MI,FT,Machine Learning Infrastructure Engineer,PT,50,PT,L,58255,L
2022,EN,FT,Financial Data Analyst,US,50,US,L,100000,M
2022,MI,PT,Data Engineer,DE,50,DE,L,54957,L
2022,EN,FT,Data Scientist,IN,100,IN,M,18442,L
2022,SE,FT,Principal Data Scientist,DE,100,DE,M,162674,H
2022,EN,FT,Data Engineer,US,100,US,M,120000,M
2022,SE,FT,Research Scientist,US,50,US,L,144000,H
